Sample_ID,ACR_Class,ANXA5,AP1M1,C1GALT1C1,CLK1,EFTUD2,MAP1A,SENP6,SENP7,TSC22D1,SPCS3,ZMAT1,ETAA1,ZNF493,CCDC82,NFYB,F13A1,TUBB1,Set_Type,probability,numbers
R.488.13,0,13.580724,12.869017,10.15555,12.317864,10.552389,8.457787,10.186035,11.336004,10.384243,11.304334,6.769248,7.036943,8.311566,8.227405,7.542179,12.191925,13.656749,0,0.009140573,1
R.2957.45.R,0,13.767288,13.043543,10.151789,12.935404,9.962918,5.8916,9.94659,11.95536,10.596532,12.063149,7.26711,7.81143,10.215477,9.270862,8.502326,11.645766,13.223244,0,0.009444906,2
R.2663.13,0,14.906818,11.847784,10.276747,12.625858,10.999087,7.64531,10.417271,10.341781,11.699818,11.305561,7.670845,7.195507,8.797957,9.670845,9.141736,11.84358,14.042832,0,0.010769907,3
R.757.16,0,14.247122,12.747135,10.300452,12.676827,11.30224,7.764757,10.415653,11.097027,10.742531,11.883623,7.825725,8.137669,9.377135,8.931218,8.046695,11.72996,12.994544,0,0.01390062,4
R.4417.7.20A1,0,13.750993,13.211861,9.479933,12.520531,11.457804,10.004666,9.649858,11.666235,11.118855,11.587986,7.876317,8.008872,9.279366,9.323479,7.438104,14.100175,15.644506,0,0.016052628,5
R.646.10,0,13.523813,12.477015,10.482908,13.411931,10.760246,8.032595,11.016435,11.414673,11.322751,12.123415,7.503667,6.800648,9.564208,7.928972,7.622311,12.473074,13.728908,0,0.02107693,6
R.550.10,0,14.223987,12.955166,10.475998,12.534235,11.727373,8.882815,10.353445,10.219506,10.176437,10.921452,6.891035,7.923457,9.840995,9.414597,8.442831,13.413528,14.214806,0,0.022858157,7
R.242.13,0,13.554561,12.605003,10.207697,12.281846,10.624919,8.15787,10.022031,10.930036,10.294254,12.013452,7.005223,7.352686,8.860537,8.585885,7.445796,12.446611,14.223657,0,0.024442868,8
R.671.1,0,12.48539,13.102393,10.112446,12.167542,9.874923,9.953906,9.812365,11.107924,11.28212,10.835801,7.26038,6.792774,9.968947,8.231566,6.638264,13.386399,15.091052,0,0.028399509,9
R.485.13,0,14.30333,12.958873,9.820272,12.149842,11.516758,7.972122,9.61653,11.047691,10.816052,11.071382,6.755236,7.023604,9.092472,9.059098,7.648814,12.532042,13.89497,0,0.029549366,10
R.3717.15.20A1,0,13.926891,12.067269,10.154255,12.486331,11.241414,6.80128,9.590457,11.173697,11.867232,11.387848,7.405214,7.514465,9.219781,8.698693,8.21144,13.304578,14.467963,0,0.035724943,11
R.3097.13,0,13.770231,12.429879,10.205223,12.617285,11.120895,7.434394,10.49617,11.086881,10.759924,11.367495,7.15686,7.945356,9.302291,8.812906,8.434394,12.283643,14.346984,0,0.038537678,12
R.4317.18.20A1,0,13.514581,12.226549,10.752076,13.193836,10.955221,8.965552,10.179412,11.270906,11.627318,11.530009,6.162893,8.290902,10.146032,9.571152,8.974438,12.514778,14.811641,0,0.042436711,13
R.589.18,1,13.148248,11.758206,10.680238,13.754461,10.5226,6.12598,10.47366,11.183399,10.14795,11.565055,7.305639,9.284368,10.086999,11.254893,10.27871,10.859159,11.762734,0,0.04686083,14
R.647.7.R,0,13.912024,12.243652,10.10681,12.372017,10.875763,6.727271,9.897196,10.822049,10.289796,10.907057,7.031277,7.766799,9.143977,8.781883,8.11874,10.668771,12.794423,0,0.048623008,15
R.522.13,0,12.780313,13.263422,10.285268,12.429184,10.494852,8.397823,10.521416,11.196393,10.231077,10.891455,7.406695,7.103805,10.253381,7.951802,7.466375,11.807505,13.341133,0,0.049350131,16
R.714.6,0,14.178906,12.562159,11.278209,14.52091,10.957284,7.719098,11.330619,12.090771,10.549247,11.71258,7.774772,9.122858,11.225905,11.698554,10.508776,11.757891,12.856199,0,0.049647793,17
R.1757.9,0,14.665124,12.52073,10.569689,13.026157,11.278057,7.736622,10.396929,11.021765,11.19697,11.302968,6.621144,7.786204,10.096386,10.711177,8.680038,12.188697,13.371572,0,0.054792369,18
R.553.19,0,13.185652,12.794273,10.338084,12.515216,10.528799,7.727547,10.29369,11.075491,10.104937,11.705077,7.864439,7.976301,10.2026,9.253741,8.345779,11.822251,13.593168,0,0.05601072,19
R.2859.53.20A1,0,14.050087,12.611107,10.463035,12.331048,11.158628,7.798873,9.74094,11.672075,10.660569,11.406604,7.899607,7.958512,9.56864,8.439705,8.289514,12.712765,14.524477,0,0.061353751,20
R.748.6,0,14.367077,12.435816,10.940122,13.157542,10.642116,8.451025,10.039697,11.51799,10.594162,11.143562,5.969568,7.909421,10.039282,9.568577,8.039908,13.002593,13.75648,0,0.062728798,21
R.508.13,0,13.483528,12.419412,10.427708,13.161162,10.679671,7.892185,10.817376,11.645935,10.274234,12.04366,7.371019,8.331949,9.809271,9.398292,8.622998,12.015756,13.372739,0,0.062886085,22
R.3977.14,0,14.309292,12.14252,10.136207,12.522485,10.7504,7.473242,9.314544,11.388125,10.712707,11.560704,8.588719,9.811111,10.914341,9.031237,8.932673,12.105833,14.3501,0,0.066492343,23
R.857.15,0,13.588192,13.028245,10.174,12.202275,10.689174,8.579992,9.870736,11.254374,11.163442,10.449504,6.758963,6.790672,9.646488,8.543234,6.437035,12.901467,14.365306,0,0.070546758,24
R.656.10,0,14.4165,12.023507,10.925659,13.776466,10.266696,6.980295,10.562004,11.571741,10.879366,11.571741,6.414697,7.858304,10.474745,10.294403,8.815235,12.133881,13.069477,0,0.07081966,25
R.1118.15,0,13.870296,12.594562,9.994957,11.96404,11.444294,6.999206,9.675951,10.627362,10.22281,11.144404,6.484633,7.324525,8.811402,8.700951,7.081668,11.603836,12.879834,0,0.071812995,26
R.632.13,0,13.699115,11.903184,10.743695,13.682936,11.064105,7.05292,10.814848,11.552856,10.218604,11.741164,8.395389,9.569125,10.436657,10.758794,10.620539,11.05292,12.342504,0,0.081338227,27
R.2797.7.20A1,0,14.148307,12.697763,10.619044,12.488776,11.186919,8.418926,10.440717,11.568653,11.945289,11.124444,7.797215,6.905501,9.589603,9.460199,8.005224,13.236439,15.030018,0,0.08204707,28
R.777.6,0,13.334627,12.338602,9.823877,12.744214,11.438772,7.135485,10.236645,10.823877,10.261422,10.896138,7.301071,7.784013,9.577083,9.08085,8.647131,11.047565,12.60243,0,0.082408255,29
R.261.13,0,13.548129,12.067435,9.660727,12.74401,11.378525,7.654951,9.959889,10.75602,11.012305,10.839713,6.927192,7.21767,9.588595,9.134765,8.682823,12.665097,13.911885,0,0.088281443,30
R.708.24,0,13.235852,12.329257,10.493478,12.98498,11.236527,9.28233,10.87251,11.175214,10.953525,11.208605,8.292747,8.591658,10.348732,8.977937,8.961708,12.325774,14.032175,0,0.094393692,31
R.4278.18,0,13.989741,13.10257,11.19392,12.991469,11.273312,8.37209,10.598417,11.805442,9.127606,11.772869,8.631584,9.393152,10.764408,9.654443,9.322449,12.144473,13.823107,0,0.09494562,32
R.527.11,0,13.537616,12.543296,10.477967,13.315694,10.696276,6.903765,10.727112,11.271145,9.099995,12.041425,8.27448,8.72028,10.643599,9.639811,8.887594,10.402748,12.223739,0,0.104372548,33
